Date,Count,Delta
2023/10/26,11730195,0
2023/10/27,11778184,47989
2023/10/28,11819659,41475
2023/10/29,11846740,27081
2023/10/30,11880416,33676
2023/10/31,11928006,47590
2023/11/01,11981632,53626
2023/11/02,12028651,47019
2023/11/03,12077422,48771
2023/11/04,12123554,46132
2023/11/05,12161013,37459
2023/11/06,12205427,44414
2023/11/07,12255781,50354
2023/11/08,12305887,50106
2023/11/09,12354495,48608
2023/11/10,12399799,45304
2023/11/11,12439873,40074
2023/11/12,12467033,27160
2023/11/13,12496785,29752
2023/11/14,12546182,49397
2023/11/15,12606935,60753
2023/11/16,12660717,53782
2023/11/17,12715714,54997
2023/11/18,12766729,51015
2023/11/19,12797250,30521
2023/11/20,12828551,31301
2023/11/21,12874840,46289
2023/11/22,12925082,50242
2023/11/23,12974028,48946
2023/11/24,13020256,46228
2023/11/25,13064265,44009
2023/11/26,13097553,33288
2023/11/27,13135061,37508
2023/11/28,13189003,53942
2023/11/29,13243350,54347
2023/11/30,13300064,56714
2023/12/01,13360714,60650
2023/12/02,13420167,59453
2023/12/03,13467212,47045
2023/12/04,13516861,49649
2023/12/05,13581982,65121
2023/12/06,13646215,64233
2023/12/07,13712821,66606
2023/12/08,13777019,64198
2023/12/09,13831510,54491
2023/12/10,13875636,44126
2023/12/11,13921344,45708
2023/12/12,13984833,63489
2023/12/13,14055905,71072
2023/12/14,14125152,69247
2023/12/15,14190772,65620
2023/12/16,14252176,61404
2023/12/17,14300892,48716
2023/12/18,14351382,50490
2023/12/19,14414424,63042
2023/12/20,14476433,62009
2023/12/21,14540465,64032
2023/12/22,14602348,61883
2023/12/23,14658143,55795
2023/12/24,14703938,45795
2023/12/25,14752377,48439
2023/12/26,14804147,51770
2023/12/27,14861287,57140
2023/12/28,14920063,58776
2023/12/29,14975929,55866
2023/12/30,15029367,53438
2023/12/31,15076386,47019
2024/01/01,15123676,47290
2024/01/02,15173990,50314
2024/01/03,15234121,60131
2024/01/04,15297613,63492
2024/01/05,15363088,65475
2024/01/06,15424231,61143
2024/01/07,15473337,49106
2024/01/08,15526930,53593
2024/01/09,15592367,65437
2024/01/10,15648427,56060
2024/01/11,15702916,54489
2024/01/12,15752887,49971
2024/01/13,15799290,46403
