Date,Count,Delta
2023/03/15,43254957,0
2023/03/16,43268631,13674
2023/03/17,43283486,14855
2023/03/18,43293650,10164
2023/03/19,43301234,7584
2023/03/20,43310665,9431
2023/03/21,43324020,13355
2023/03/22,43337421,13401
2023/03/23,43351481,14060
2023/03/25,43375595,24114
2023/03/26,43383778,8183
2023/03/27,43394005,10227
2023/03/28,43408489,14484
2023/03/29,43423031,14542
2023/03/30,43437367,14336
2023/03/31,43451431,14064
2023/04/01,43463770,12339
2023/04/02,43472781,9011
2023/04/03,43483686,10905
2023/04/04,43498687,15001
2023/04/05,43514593,15906
2023/04/06,43535047,20454
2023/04/07,43548690,13643
2023/04/08,43559444,10754
2023/04/09,43568481,9037
2023/04/10,43578603,10122
2023/04/11,43592602,13999
2023/04/12,43607656,15054
2023/04/13,43622336,14680
2023/04/14,43637281,14945
2023/04/15,43649765,12484
2023/04/16,43660457,10692
2023/04/17,43671942,11485
2023/04/18,43687992,16050
2023/04/19,43703985,15993
2023/04/20,43719629,15644
2023/04/21,43733115,13486
2023/04/22,43745026,11911
2023/04/23,43754010,8984
2023/04/24,43766129,12119
2023/04/25,43780621,14492
2023/04/26,43795892,15271
2023/04/27,43810640,14748
2023/04/28,43825248,14608
2023/04/29,43837195,11947
2023/04/30,43847708,10513
2023/05/01,43859593,11885
2023/05/02,43873788,14195
2023/05/03,43889690,15902
2023/05/04,43903732,14042
2023/05/05,43916827,13095
2023/05/06,43926536,9709
2023/05/07,43933907,7371
2023/05/08,43942995,9088
2023/05/09,43957651,14656
2023/05/10,43970101,12450
2023/05/11,43983723,13622
2023/05/12,43997594,13871
2023/05/13,44007861,10267
2023/05/14,44015710,7849
2023/05/15,44025014,9304
2023/05/16,44037358,12344
2023/05/17,44049845,12487
2023/05/18,44062510,12665
2023/05/19,44075060,12550
2023/05/20,44084238,9178
2023/05/21,44091179,6941
2023/05/22,44100476,9297
2023/05/23,44113916,13440
2023/05/24,44128631,14715
2023/05/25,44142779,14148
2023/05/26,44156946,14167
2023/05/27,44168283,11337
2023/05/28,44178054,9771
2023/05/29,44189866,11812
2023/05/30,44205372,15506
2023/05/31,44220136,14764
2023/06/01,44234256,14120
2023/06/02,44247295,13039
2023/06/03,44258504,11209
2023/06/04,44267272,8768
2023/06/05,44278659,11387
2023/06/06,44292471,13812
2023/06/07,44307378,14907
2023/06/08,44323033,15655
2023/06/09,44337846,14813
2023/06/10,44349438,11592
2023/06/11,44358794,9356
2023/06/12,44370846,12052
2023/06/13,44386754,15908
2023/06/14,44402128,15374
2023/06/15,44417078,14950
2023/06/16,44431858,14780
2023/06/17,44443611,11753
2023/06/18,44453231,9620
2023/06/19,44464798,11567
2023/06/20,44478707,13909
2023/06/21,44493164,14457
2023/06/22,44507909,14745
2023/06/23,44522270,14361
2023/06/24,44533504,11234
2023/06/25,44542503,8999
2023/06/26,44554003,11500
2023/06/27,44568325,14322
2023/06/28,44583750,15425
2023/06/29,44600304,16554
2023/06/30,44615131,14827
2023/07/01,44627785,12654
2023/07/02,44637832,10047
2023/07/03,44651632,13800
2023/07/04,44666908,15276
2023/07/05,44680643,13735
2023/07/06,44696328,15685
2023/07/07,44711516,15188
2023/07/08,44723237,11721
2023/07/09,44733498,10261
2023/07/10,44745722,12224
2023/07/11,44760715,14993
2023/07/12,44775791,15076
2023/07/13,44790658,14867
2023/07/14,44804990,14332
2023/07/15,44816141,11151
2023/07/16,44825265,9124
2023/07/17,44837641,12376
2023/07/18,44851410,13769
2023/07/19,44865315,13905
2023/07/20,44880268,14953
2023/07/21,44893835,13567
2023/07/22,44904052,10217
2023/07/23,44912551,8499
2023/07/24,44923501,10950
2023/07/25,44936825,13324
2023/07/26,44950545,13720
2023/07/27,44963559,13014
2023/07/28,44977739,14180
2023/07/29,44987750,10011
2023/07/30,44994928,7178
2023/07/31,45004435,9507
2023/08/01,45017399,12964
2023/08/02,45030184,12785
2023/08/03,45043109,12925
2023/08/04,45056349,13240
2023/08/05,45066494,10145
2023/08/06,45075075,8581
2023/08/07,45085309,10234
2023/08/08,45096361,11052
2023/08/09,45109091,12730
2023/08/10,45121369,12278
2023/08/11,45131259,9890
2023/08/12,45139114,7855
2023/08/13,45145372,6258
2023/08/14,45153069,7697
2023/08/15,45161842,8773
2023/08/16,45171101,9259
2023/08/17,45181317,10216
2023/08/18,45191403,10086
2023/08/19,45198540,7137
2023/08/20,45204638,6098
2023/08/21,45212450,7812
2023/08/22,45222915,10465
2023/08/23,45233246,10331
2023/08/24,45243560,10314
2023/08/25,45253825,10265
2023/08/26,45263178,9353
2023/08/27,45270463,7285
2023/08/28,45279238,8775
2023/08/29,45289531,10293
2023/08/30,45300688,11157
2023/08/31,45311645,10957
2023/09/01,45323154,11509
2023/09/02,45331298,8144
2023/09/03,45337664,6366
2023/09/04,45345351,7687
2023/09/05,45355630,10279
2023/09/06,45366382,10752
2023/09/07,45377655,11273
2023/09/08,45388532,10877
2023/09/09,45396834,8302
2023/09/10,45402550,5716
2023/09/11,45409862,7312
2023/09/12,45420974,11112
2023/09/13,45431502,10528
2023/09/14,45441920,10418
2023/09/15,45452220,10300
2023/09/16,45460528,8308
2023/09/17,45465979,5451
2023/09/18,45473327,7348
2023/09/19,45483475,10148
2023/09/20,45494365,10890
2023/09/21,45505840,11475
2023/09/22,45516568,10728
2023/09/23,45525457,8889
2023/09/24,45530960,5503
2023/09/25,45538595,7635
2023/09/26,45551054,12459
2023/09/27,45565450,14396
2023/09/28,45578779,13329
