Date,Count,Delta
2023/10/26,3209418,0
2023/10/27,3216978,7560
2023/10/28,3222888,5910
2023/10/29,3226237,3349
2023/10/30,3229857,3620
2023/10/31,3237163,7306
2023/11/01,3244321,7158
2023/11/02,3251202,6881
2023/11/03,3258777,7575
2023/11/04,3265110,6333
2023/11/05,3268397,3287
2023/11/06,3271805,3408
2023/11/07,3278300,6495
2023/11/08,3285307,7007
2023/11/09,3291836,6529
2023/11/10,3298445,6609
2023/11/11,3303806,5361
2023/11/12,3307553,3747
2023/11/13,3311282,3729
2023/11/14,3318840,7558
2023/11/15,3325753,6913
2023/11/16,3332870,7117
2023/11/17,3340874,8004
2023/11/18,3350192,9318
2023/11/19,3353899,3707
2023/11/20,3357826,3927
2023/11/21,3365651,7825
2023/11/22,3375546,9895
2023/11/23,3384243,8697
2023/11/24,3391310,7067
2023/11/25,3397401,6091
2023/11/26,3400910,3509
2023/11/27,3405138,4228
2023/11/28,3413245,8107
2023/11/29,3421409,8164
2023/11/30,3429799,8390
2023/12/01,3437084,7285
2023/12/02,3444686,7602
2023/12/03,3448066,3380
2023/12/04,3451568,3502
2023/12/05,3459458,7890
2023/12/06,3466827,7369
2023/12/07,3473795,6968
2023/12/08,3481499,7704
2023/12/09,3487500,6001
2023/12/10,3491155,3655
2023/12/11,3494681,3526
2023/12/12,3502387,7706
2023/12/13,3510292,7905
2023/12/14,3516574,6282
2023/12/15,3523501,6927
2023/12/16,3530007,6506
2023/12/17,3533400,3393
2023/12/18,3536793,3393
2023/12/19,3543430,6637
2023/12/20,3549371,5941
2023/12/21,3556205,6834
2023/12/22,3562635,6430
2023/12/23,3567882,5247
2023/12/24,3571201,3319
2023/12/25,3574870,3669
2023/12/26,3579399,4529
2023/12/27,3583974,4575
2023/12/28,3588542,4568
2023/12/29,3593444,4902
2023/12/30,3597580,4136
2023/12/31,3601325,3745
2024/01/01,3605104,3779
2024/01/02,3609370,4266
2024/01/03,3615030,5660
2024/01/04,3620919,5889
2024/01/05,3626851,5932
2024/01/06,3631833,4982
2024/01/07,3635044,3211
2024/01/08,3638382,3338
2024/01/09,3644827,6445
2024/01/10,3651137,6310
2024/01/11,3657121,5984
2024/01/12,3663109,5988
2024/01/13,3669508,6399
2024/01/14,3673306,3798
2024/01/15,3676646,3340
2024/01/16,3681552,4906
2024/01/17,3687268,5716
2024/01/18,3691659,4391
2024/01/19,3696139,4480
2024/01/20,3700655,4516
2024/01/21,3703330,2675
2024/01/22,3705845,2515
2024/01/23,3711495,5650
2024/01/24,3717342,5847
2024/01/25,3723449,6107
2024/01/26,3730552,7103
2024/01/27,3736223,5671
2024/01/28,3741161,4938
2024/01/29,3745737,4576
2024/01/30,3752435,6698
2024/01/31,3759299,6864
2024/02/01,3765743,6444
2024/02/02,3772229,6486
2024/02/03,3778230,6001
2024/02/04,3782630,4400
2024/02/05,3787444,4814
2024/02/06,3794459,7015
2024/02/07,3801482,7023
2024/02/08,3808538,7056
2024/02/09,3815429,6891
2024/02/10,3821542,6113
2024/02/11,3825058,3516
2024/02/12,3828801,3743
2024/02/13,3834783,5982
2024/02/14,3841391,6608
2024/02/15,3847662,6271
2024/02/16,3853712,6050
2024/02/17,3859115,5403
2024/02/18,3862864,3749
2024/02/19,3867421,4557
2024/02/20,3873200,5779
2024/02/21,3880796,7596
2024/02/22,3888368,7572
2024/02/23,3896490,8122
2024/02/24,3903422,6932
2024/02/25,3908022,4600
2024/02/26,3912885,4863
2024/02/27,3919988,7103
2024/02/28,3927696,7708
2024/02/29,3935513,7817
2024/03/01,3942444,6931
2024/03/02,3949755,7311
2024/03/03,3954827,5072
2024/03/04,3960063,5236
2024/03/05,3966608,6545
2024/03/06,3973263,6655
2024/03/07,3979498,6235
2024/03/08,3986084,6586
2024/03/09,3992794,6710
2024/03/10,3997399,4605
2024/03/11,4001758,4359
2024/03/12,4007643,5885
2024/03/13,4014290,6647
2024/03/14,4020997,6707
2024/03/15,4027987,6990
2024/03/16,4033688,5701
2024/03/17,4037644,3956
2024/03/18,4041895,4251
2024/03/19,4048109,6214
2024/03/20,4054311,6202
2024/03/21,4061059,6748
2024/03/22,4067743,6684
2024/03/23,4073656,5913
2024/03/24,4077691,4035
2024/03/25,4082126,4435
2024/03/26,4088535,6409
2024/03/27,4095090,6555
2024/03/28,4100222,5132
2024/03/29,4105533,5311
2024/03/30,4110044,4511
2024/03/31,4114274,4230
2024/04/01,4117956,3682
2024/04/02,4123062,5106
2024/04/03,4129653,6591
2024/04/04,4136078,6425
2024/04/05,4143650,7572
2024/04/06,4150395,6745
2024/04/07,4155439,5044
2024/04/08,4161106,5667
2024/04/09,4168522,7416
2024/04/10,4175602,7080
2024/04/11,4182746,7144
2024/04/12,4190437,7691
2024/04/13,4196528,6091
2024/04/14,4201122,4594
2024/04/15,4205714,4592
2024/04/16,4213384,7670
2024/04/17,4221373,7989
2024/04/18,4228388,7015
2024/04/19,4236191,7803
2024/04/20,4244831,8640
2024/04/21,4249997,5166
2024/04/22,4254497,4500
2024/04/23,4262018,7521
2024/04/24,4269000,6982
2024/04/25,4275697,6697
2024/04/26,4282920,7223
2024/04/27,4288297,5377
2024/04/28,4291244,2947
2024/04/29,4294651,3407
2024/04/30,4300615,5964
2024/05/01,4307287,6672
2024/05/02,4312748,5461
2024/05/03,4319405,6657
2024/05/04,4324734,5329
2024/05/05,4328494,3760
2024/05/06,4332553,4059
2024/05/07,4338107,5554
2024/05/08,4344929,6822
2024/05/09,4352762,7833
2024/05/10,4360561,7799
2024/05/11,4368806,8245
2024/05/12,4374063,5257
2024/05/13,4379847,5784
2024/05/14,4387230,7383
2024/05/15,4395561,8331
2024/05/16,4403933,8372
2024/05/17,4411832,7899
2024/05/18,4419819,7987
2024/05/19,4425282,5463
2024/05/20,4431448,6166
2024/05/21,4438883,7435
2024/05/22,4447081,8198
2024/05/23,4455568,8487
2024/05/24,4463181,7613
2024/05/25,4469294,6113
2024/05/26,4473478,4184
2024/05/27,4478064,4586
2024/05/28,4484816,6752
2024/05/29,4492189,7373
2024/05/30,4499083,6894
2024/05/31,4506962,7879
2024/06/01,4514089,7127
2024/06/02,4518602,4513
2024/06/03,4523884,5282
2024/06/04,4532732,8848
